epoch	precision	recall	f1
0	0.8145564182403022	0.8186684440812966	0.8132135239883855
1	0.838196471562196	0.8501461300933641	0.8419654622767828
2	0.8476365598885292	0.8401845733240545	0.8428479672944196
3	0.8447834843541274	0.8576969246761669	0.8475852057929757
4	0.8504547104131419	0.8535403827617148	0.8506072737288445
5	0.8417216235382023	0.8578027117159372	0.8482458614270681
6	0.8536787763612157	0.8591911227159287	0.8540572750878578
7	0.8444327543408576	0.8627078116631932	0.8520457623445413
8	0.8433742647205227	0.8581318389851746	0.848966239944725
9	0.8298454749266189	0.8525732892719902	0.8376928210448952
10	0.8509569140268078	0.8553457660079996	0.8504186554062914
11	0.8488934819403644	0.8673018036206803	0.8562331132256057
12	0.8385331955876166	0.863294782873729	0.8482856363321769
13	0.8386067442953251	0.851386232830859	0.8414168183378912
14	0.8442001939295565	0.8569589817140152	0.8492370561282403
15	0.8414854636080973	0.8644119821507965	0.8505406719126662
16	0.856458190347225	0.8622506273557103	0.8579752726736942
17	0.8418712658213281	0.852701439824612	0.8452917792053322
18	0.8512913321386104	0.8627190220290784	0.8560580476509709
19	0.8412622581677672	0.8691222196796969	0.851174915142814